source,destination,description
304,152,['{{i|Technology 2|nr}}: Doubled tear delay due to firing out of only one eye is unaffected by the balancing formula.']
304,233,"['{{I|Tiny Planet}}: The significant range increase results in a large stat boost to speed and tears and a small boost to damage. However, the decrease in range causes orbiting tears to no longer complete a full 360° lap around Isaac, instead dropping off at about half that.']"
245,118,['{{dlc|na}}{{i|Brimstone}}: Overrides 20/20.']
245,2,['{{dlc|na}}{{i|The Inner Eye}}: Overrides 20/20.']
245,440,"['{{i|Kidney Stone}}: Increase number of tears in tear barrage; however, only fires one stone.']"
245,87,"[""{{i|Loki's Horns}}: Only occasionally fires one tear in the other three directions.""]"
245,55,"[""{{i|Mom's Eye}}: Only occasionally fires one tear out of the back of Isaac's head.""]"
245,114,"[""{{dlc|na}}{{i|Mom's Knife}}: Overrides 20/20.""]"
245,229,"[""{{dlc|na}}{{i|Monstro's Lung}}: Overrides 20/20.""]"
245,153,"['{{dlc|na}}{{i|Mutant Spider}}: Overrides 20/20.', ['{{dlc|r}} Cancels the tears down of Mutant Spider.']]"
245,220,['{{i|Sad Bombs}}: Does not affect the number of tears when bombs explode.']
245,68,['{{dlc|na}}{{i|Technology}}: Overrides 20/20.']
245,452,['{{i|Varicose Veins}}: No effect on number of tears when taking damage.']
116,116,['{{I|9 Volt}}: No further decrease in charges.']
116,585,['{{I|Alabaster Box}}: No effect.']
116,638,['{{I|Eraser}}: No effect.']
116,720,"['{{I|Everything Jar}} / {{I|Larynx}}: The first bar gains an automatic recharge, but the further bars will not be affected.']"
116,611,"['{{I|Everything Jar}} / {{I|Larynx}}: The first bar gains an automatic recharge, but the further bars will not be affected.']"
116,205,"['{{dlc|nr}}{{i|Sharp Plug}}: Renders the Sharp Plug unusable on 2+ charge items. Sharp Plug can only be used if the item is at 0 charges, but 9 Volt instantly gives +1 charge to the item upon activation.', ['{{dlc|r}} Lowers the cost of using Sharp Plug by half a heart on 2+ charge items.']]"
254,360,['{{I|Incubus}}: Incubus is not affected by Blood Clot.']
157,347,"['{{i|Diplopia}}: No effect, damage up still caps at +6 and increases at the same intervals']"
157,695,"['{{I|bloody gust}}: Bloody Lust\'s ""rage"" effect is shared with Bloody Gust, so if Isaac picks up Bloody Gust after already getting hit with Bloody Lust (or vice versa) the boosts will automatically update to that level.']"
7,7,['{{i|Blood of the Martyr}}: No further effect when multiple copies of the item are acquired.']
125,47,"[""{{i|Doctor's Remote}}/{{i|Epic Fetus}}: Crosshair will not home in on enemies.""]"
125,168,"[""{{i|Doctor's Remote}}/{{i|Epic Fetus}}: Crosshair will not home in on enemies.""]"
118,245,"['{{Dlc|na}}{{I|20/20}}: Overridden by Brimstone.', ['{{Dlc|a}} Adds a second Brimstone.']]"
118,359,"['{{I|8 Inch Nails}}: Beams gain knockback, pushing enemies away in the direction they travel but not out of their path. This increases its consistency.']"
118,706,['{{I|Abyss}}: When Isaac uses Abyss to absorb Brimstone it turns into a larger gray locust but otherwise acts like normal locusts created by Abyss.']
118,616,"[""{{I|Bird's Eye}}: Will occasionally spawn a fire when firing and with high luck will spawn four fires.""]"
118,69,"[""{{I|Chocolate Milk|force=nr}}: Reduces Isaac's tear delay by 20%. Does not increase damage.""]"
118,453,['{{I|Compound Fracture}}: Splitting is overridden. The stat change is applied as normal.']
118,369,"['{{I|Continuum}}:', ['{{Dlc|nr}} Overridden by Brimstone.', '{{Dlc|r}} Brimstone laser travels through the wall and appears out the other side once.']]"
118,224,"[""{{I|Cricket's Body}}:"", ['{{Dlc|nr}} Splitting is overridden. The stat changes are applied as normal.', '{{Dlc|r}} Spawns split tears on the first enemy or obstacle the beam hits.']]"
118,316,['{{I|Cursed Eye}}: Overridden by Brimstone.']
118,52,['{{I|Dr. Fetus|r}}: Overrides Brimstone.']
118,168,"['{{I|Epic Fetus}}:', ['{{Dlc|na}} Overrides Brimstone.', '{{Dlc|a}} Adds a Brimstone Sad Bombs effect: missile explosions shoot ten beams in all directions, massively increasing damage and area of effect.']]"
118,368,"['{{I|Epiphora}}: Effect only activates when holding charge in a specific direction, and deactivates when the charge is released, effectively making Epiphora useless unless Isaac has exceedingly high tear delay.']"
118,410,['{{I|Evil Eye}}: Overridden by Brimstone.']
118,462,['{{I|Eye of Belial}}: Overridden by Brimstone.']
118,401,"['{{I|Explosivo}}:', ['{{Dlc|nr}} Overridden by Brimstone.', '{{Dlc|r}} The beam has 20% chance to stick explosive tears to enemies on every other tick.']]"
118,257,"['{{I|Fire Mind}}: The beam will not cause explosions, but will still set enemies on [[Status_Effects#Burn|fire]].']"
118,540,['{{I|Flat Stone}}: Overridden by Brimstone.']
118,495,"['{{I|Ghost Pepper}}:', ['{{Dlc|nr}} The flames can still shoot from Isaac while holding the fire button.', '{{Dlc|r}} Has a chance to shoot flames for every other tick while the beam is being fired.']]"
118,331,"['{{I|Godhead}}: Homing and stat bonuses apply, but the beam does not have a damaging aura.']"
118,429,"['{{I|Head of the Keeper}}:', [""{{Dlc|nr}} Overridden by Brimstone. Also applied to {{C|Azazel}}'s Brimstone."", ""{{Dlc|r}} Makes the laser yellow and upon a tick has a chance to drop a coin. Also applied to {{C|Azazel}}'s Brimstone.""]]"
118,374,"['{{I|Holy Light}}:', ['{{Dlc|nr}} Overridden by Brimstone.', '{{Dlc|r}} Every tick of the beam has a chance of summoning a beam of light.']]"
118,149,"['{{I|Ipecac}}:', [""{{Dlc|na+}} Does not apply Ipecac's stat changes. The beam poisons enemies."", '{{Dlc|a+nr}} Isaac shoots Ipecac tears while charging Brimstone. Stat changes from both items are applied as normal, meaning that Ipecac fires slower and Brimstone charges slower, but Brimstone deals drastically increased damage.', ""{{Dlc|r}} Applies +2 flat damage, instead of Ipecac's damage up. Does not apply Ipecac's tears down. The beam explodes on the first enemy or obstacle it hits every other tick, dealing 10 + twice of Isaac's Damage. The beam gains a poison effect. The explosions do not occur when the beam narrows, meaning that they occur only twice per shot without {{I|Soy Milk}}\xa0/ {{I|Almond Milk}}. The beam and its explosions poison enemies. {{I|The Ladder}}, when placed, will trigger the Ipecac-Brimstone explosions. (possibly a bug)"", ['{{I|Haemolacria}} EXTREMELY DANGEROUS! Tears will explode into multiple brimstone beams, each of which has a chance to hit Isaac and explode']]]"
118,323,"[""{{I|Isaac's Tears}}: Fires normal tears, but nearly instantly charges when charging Brimstone.""]"
118,494,"[""{{I|Jacob's Ladder}}:"", ['{{Dlc|nr}} Overridden by Brimstone.', '{{Dlc|r}} Upon hitting an enemy, wall or obstacle, the beam generates sparks that home in on enemies.']]"
118,440,['{{I|Kidney Stone}}: Overridden by Brimstone.']
118,637,['{{I|Knockout Drops}}: Gives the lasers high knockback.']
118,532,"['{{I|Lachryphagy}}:', ['{{Dlc|nr}} Overridden by Brimstone.', ""{{Dlc|r}} Brimstone has shorter range, a bit longer than {{C|Azazel}}'s brimstone, and it is not affected from [[Range]]. The beam fires Pop! tears at the end, which is [[Piercing]].""]]"
118,502,['{{I|Large Zit}}: Creep shots will still be fired occasionally while holding the fire button.']
118,444,"['{{I|Lead Pencil}}:', ['{{Dlc|nr}} Overridden by Brimstone.', '{{Dlc|r}} Lead Pencil triggers approximately every 2 seconds as the beam is fired (charge time is not counted).']]"
118,617,"['{{I|Lodestone}}: Changes the beam to gray, can still apply the magnetized effect. The beams are not attracted to enemies with the magnetized effect.']"
118,394,"['{{I|Marked}}:', ['{{Dlc|nr}} Overridden by Brimstone.', '{{Dlc|r}} Fires automatically upon reaching full charge. Fires at the direction of the crosshair.']]"
118,229,"[""{{I|Monstro's Lung}}:"", ['{{Dlc|na}} Overridden by Brimstone.', ""{{Dlc|a}} Brimstone has priority. Does not apply Monstro's Lung's tears down. Fires 3-5 additional beams in random directions around Isaac. This effect also applies to {{C|Azazel}} and {{C|Tainted Azazel}}'s Brimstone."", [""{{Dlc|nr}} Charging a new Brimstone beam removes the original from in front of Isaac, but not the additional ones added by Monstro's Lung.""]]]"
118,553,['{{I|Mucormycosis}}: The beam has 25% chance to spawn spore to enemies on every other tick.']
118,317,"['{{I|Mysterious Liquid}}:', ['{{Dlc|na}} Overridden by Brimstone.', ""{{Dlc|a}} Leaves a creep for each enemy and obstacle the beam hits, on every other tick. {{C|Azazel}}'s Brimstone leaves creeps at the end of its range.""]]"
118,597,['{{I|Neptunus}}: Overridden by Brimstone.']
118,6,"[""{{I|Number One}}: Although Number One is otherwise purely beneficial with standard Brimstone, {{C|Azazel}}'s range is severely affected.""]"
118,104,"['{{I|The Parasite}}:', ['{{Dlc|nr}} Splitting is overridden. The stat changes are applied as normal.', '{{Dlc|r}} Spawns two perpendicular beams on the first enemy or obstacle the beam hits.']]"
118,570,"['{{I|Playdough Cookie}}: Brimstone will start cycling through colors and applies the standard chance of tear-effect on hit, with the homing effect will occur intermittently.']"
118,461,['{{I|Parasitoid}}: Overridden by Brimstone.']
118,529,"['{{I|Pop!}}:', ['{{Dlc|nr}} Overridden by Brimstone.', ""{{Dlc|r}} Brimstone has shorter range, a bit longer than {{C|Azazel}}'s brimstone, and it is not affected from [[Range]]. The beam fires Pop! tears at the end, which is [[Piercing]].""]]"
118,261,"['{{I|Proptosis}}:', ['{{Dlc|na}} Does not apply distance penalty.', ""{{Dlc|a}} The beam deals 2x Isaac's Damage, which is already doubled from the items effect, at point blank range. The damage quickly drops further along the beam, at about 0.8x per tile of distance."", ""{{Dlc|r}} The beam deals 6x Isaac's Damage at point blank range. Decreases 13.3% of the damage per tile of distance, to the minimum of 0.1 point of damage at 7.5 tiles of distance.""]]"
118,379,['{{I|Pupula Duplex}}: Overridden by Brimstone.']
118,618,['{{I|Rotten Tomato}}: Firing can mark enemies.']
118,221,"['{{I|Rubber Cement}}:', ['{{Dlc|na}} Overridden by Brimstone.', '{{Dlc|a}} Beams bounce off of walls once, creating a second beam that deals {{Dlc|nr}} half/{{Dlc|r}} full damage.', [""{{Dlc|ana+}} If {{C|Azazel}}'s mini Brimstone beam bounces off a wall, it effectively becomes a full-length Brimstone beam, but it will still only deal half damage."", ""{{Dlc|a+}} {{C|Azazel}}'s Brimstone no longer becomes a full length beam after bouncing, instead bouncing as a regular mini-Brimstone.""]]]"
118,459,"['{{I|Sinus Infection}}:', ['{{Dlc|nr}} Overridden by Brimstone.', '{{Dlc|r}} The beam has 20% chance to stick booger tears to enemies on every other tick.']]"
118,579,['{{I|Spirit Sword}}: Overrides Brimstone.']
118,463,"['{{I|Sulfuric Acid}}:', ['{{Dlc|nr}} Overridden by Brimstone. Stat effects are still applied.', '{{Dlc|r}} The beam has a chance to destroy rocks every tick.']]"
118,68,"['{{I|Technology}}:', ['{{Dlc|na}} Overridden by Brimstone, but adds damage.', ""{{Dlc|a}} The Technology laser coils around the Brimstone beam, granting a 1.5x damage multiplier (it stacks with other similar multipliers like {{I|Cricket's Head}} or {{I|Magic Mushroom}})."", [""{{Dlc|r}} Technology's damage multiplier will be overridden if Isaac has the powered up version (from picking up Brimstone twice or using {{I|Sulfur}} with Brimstone).""]]]"
118,524,['{{I|Technology Zero}}: Overridden by Brimstone.']
118,152,"['{{I|Technology 2}}:', ['{{Dlc|na}} Overridden by Brimstone, but retains the reduced damage.', '{{Dlc|a}} Both fire normally; the Technology laser fires while charging Brimstone.']]"
118,244,"['{{I|Tech.5}}:', ['{{Dlc|na}} Overridden by Brimstone unless using {{C|Azazel}}, in which case it will fire normally while charging Brimstone.', '{{Dlc|a}} Tech.5 fires normally while charging Brimstone.']]"
118,592,['{{I|Terra}}: The beam has a chance to destroy rocks every tick.']
118,533,['{{I|Trisagion}}: Overridden by Brimstone.']
103,149,['{{i|Ipecac}}/{{i|Scorpio}}: Overrides The Common Cold.']
103,305,['{{i|Ipecac}}/{{i|Scorpio}}: Overrides The Common Cold.']
103,393,"[""{{I|Serpent's Kiss|anr}}: Both poison effects work, but poison caused by Common Cold will not cause {{e|Black Heart}} drops. There is no way to tell which poison is applied.""]"
69,222,"['{{i|Anti-Gravity}}: No effect, but retains the reduced tear delay.']"
69,118,"[""{{dlc|nr}} {{i|Brimstone}}: Doesn't increase damage, but reduces Isaac's current [[Tears#Tear Delay|tear delay]] by 20% (allows Brimstone to charge faster). Beam is colored brown. It also applies to {{C|Azazel}}'s default mini-brimstone."", ['{{dlc|r}} Brimstone laser takes longer to fully charge, but can be released at any point during its charge. Width and damage of the laser increases at higher charges. Width scales from 50% at minimum charge to 160% at maximum charge. Damage scales from 25% at minimum charge to 250% at maximum charge. Unlike with normal tears, the tears stat does not directly affect maximum or minimum damage.']]"
69,678,['{{i|C Section|r}}: Overrides Chocolate Milk.']
69,316,"[""{{dlc|nr}} {{i|Cursed Eye}}: The charge bar only indicates the current charge for Chocolate Milk, not for Cursed Eye; the latter's charge is determined by the eye's glow. If charged until Cursed Eye fully glows, Isaac fires one Chocolate Milk shot, followed by up to three minimal power ones."", ['{{dlc|r}} Cursed Eye takes longer to charge, but low damage shots can be fired rapidly. If fully charged, Isaac fires five Chocolate Milk shots.']]"
69,52,"[""{{dlc|nr}} {{i|Dr. Fetus}}: Bombs can't be charged, but reduces Isaac's current tear delay by 20% (allows Dr. Fetus to fire faster). Bombs are brown.""]"
69,168,"[""{{dlc|nr}} {{i|Epic Fetus}}: Missiles can't be charged, but reduces Isaac's current tear delay by 20% (allows Epic Fetus' missiles to be fired with a shorter delay between them). Changes the explosion color to brown.""]"
69,329,"[""{{dlc|nr}} {{i|The Ludovico Technique}}: The tear can't be charged, but reduces Isaac's current tear delay by 20% (allows The Ludovico Technique to deal damage faster). Turns the tear into a Chocolate Milk tear.""]"
69,114,"[""{{dlc|nr}} {{i|Mom's Knife}}: Doesn't increase damage, but reduces Isaac's current tear delay by 20% (allows Mom's Knife to charge faster). The knife turns brown.""]"
69,394,"['{{i|Marked}}: Isaac will automatically charge his shots. Fire rate increases when the crosshair is closer to Isaac, and damage increases when the crosshair is farther from Isaac.']"
69,441,"[""{{i|Mega Blast}}: Firing the Mega Blast beam while Chocolate Milk charges preserve the charge, but does not increase the beam's damage.""]"
69,597,"[""{{i|Neptunus}}: Overrides Chocolate Milk's active charge. Tear damage is determined by how charged Neptunus is.""]"
69,330,"['{{dlc|nr}} {{i|Soy Milk}}: Overrides Chocolate Milk, but Isaac gains a flat +1 damage bonus after the Soy Milk damage penalty.', ['{{dlc|r}} Shoots moderately charged shots at a quick pace with no increase in damage.']]"
69,68,"[""{{dlc|nr}} {{i|Technology}}: Lasers can't be charged, but reduces Isaac's current tear delay by 20% (allows Technology to fire faster). Lasers are colored brown."", [""{{dlc|r}} Lasers can be charged, dealing up to 4x damage when fully charged. Low-damage lasers can also be fired rapidly. Tear delay isn't decreased."", ['At 30.00 fire rate or above (0 tear delay or lower), charging is no longer needed and lasers deal 4x damage.']]]"
69,395,"[""{{dlc+|anr}} {{i|Tech X}}: Doesn't increase damage, but reduces Isaac's current tear delay by 20% (allows Tech X to charge faster). Laser rings are colored brown.{{dlc-}}""]"
154,360,['{{i|Incubus}}: Has a 50% chance of firing a shot with the Chemical Peel effect.']
154,220,['{{i|Sad Bombs}}: The last type of tear fired is used for the burst.']
154,708,"['{{i|Stapler}}: Gives a 50% chance of firing a Chemical Peel shot, similar to Cain.']"
154,395,['{{i|Tech X}}: Overrides Chemical Peel.']
154,452,['{{i|Varicose Veins}}: The last type of tear fired is used for the burst.']
62,312,"[""{{i|Maggy's Bow}}: No effect.""]"
62,5,"['{{I|My Reflection}}: Despite vampires having no reflection, Charm of the Vampire does not remove the effect of My Reflection.']"
62,596,"[""{{I|Uranus}}: The freeze effect overrides the effect of Charm of the Vampire, since it freezes the enemy's it does not count towards the healing counter.""]"
48,359,"[""{{i|8 Inch Nails}}/{{t|Blister}}/{{i|Cricket's Head}}/{{t|Flat Worm}}: Reduces knockback effectiveness of these items.""]"
48,4,"[""{{i|8 Inch Nails}}/{{t|Blister}}/{{i|Cricket's Head}}/{{t|Flat Worm}}: Reduces knockback effectiveness of these items.""]"
48,52,"['{{i|Dr. Fetus}}: Bombs travel through enemies. When combined with {{I|Ipecac}}, bombs do not explode upon hitting enemies.', [""{{Dlc|r}} Bombs also deal 2.5x Isaac's damage to enemies when passing through them.""]]"
48,149,"['{{i|Dr. Fetus}}: Bombs travel through enemies. When combined with {{I|Ipecac}}, bombs do not explode upon hitting enemies.', [""{{Dlc|r}} Bombs also deal 2.5x Isaac's damage to enemies when passing through them.""]]"
48,257,['{{i|Fire Mind}}: Tears will continue to pierce enemies while retaining the explosion chance.']
48,149,"['{{i|Ipecac}}: Pierces through {{E|poop}} and {{E|Fire Place}}s, but not enemies.']"
170,536,['{{i|Sacrificial Altar}}: Daddy Longlegs cannot be sacrificed.']
117,619,"['{{I|Birthright}} + {{C|Eve}}: Dead Bird will be active at all times, without necessitating damage.']"
117,357,"['{{i|Box of Friends}}: Does not double Dead Bird, even if Isaac has taken damage before use.']"
117,313,['{{i|Holy Mantle}}: Dead Bird will not be activated if the damage is taken while Holy Mantle is active.']
117,536,['{{I|Sacrificial Altar}}: The familiar can only be sacrificed when it is active.']
52,222,['{{i|Anti-Gravity}}: Overridden by Dr. Fetus. Tear delay decrease is still applied.']
52,553,['{{t|Brain Worm}}/{{I|Mucormycosis}}/{{I|Neptunus}}/{{i|Ocular Rift}}: Overridden by Dr. Fetus.']
52,597,['{{t|Brain Worm}}/{{I|Mucormycosis}}/{{I|Neptunus}}/{{i|Ocular Rift}}: Overridden by Dr. Fetus.']
52,606,['{{t|Brain Worm}}/{{I|Mucormycosis}}/{{I|Neptunus}}/{{i|Ocular Rift}}: Overridden by Dr. Fetus.']
52,118,"['{{i|Brimstone}}: Overridden by Dr. Fetus. The beams can still appear from other sources such as {{I|Sad Bombs}}.', [""{{dlc|anr}} Isaac continuously fires bombs while charging the beam. Overrides {{c|Azazel}}'s Brimstone.""]]"
52,220,"['{{i|Brimstone}}: Overridden by Dr. Fetus. The beams can still appear from other sources such as {{I|Sad Bombs}}.', [""{{dlc|anr}} Isaac continuously fires bombs while charging the beam. Overrides {{c|Azazel}}'s Brimstone.""]]"
52,69,"[""{{i|Chocolate Milk|nr}}: The bombs can't be charged, but reduces Isaac's tear delay by 20%.""]"
52,224,"[""{{i|Cricket's Body|nr}}: The bombs do not split. Range is greatly decreased.""]"
52,453,['{{i|Compound Fracture}}: Bombs do not split. Stat changes still apply.']
52,316,['{{i|Cursed Eye}}/{{i|A Lump of Coal}}: Overridden by Dr. Fetus.']
52,132,['{{i|Cursed Eye}}/{{i|A Lump of Coal}}: Overridden by Dr. Fetus.']
52,168,['{{i|Epic Fetus}}: Overrides Dr. Fetus.']
52,573,['{{i|Immaculate Heart}}: Orbital tears do not become bombs.']
52,494,"[""{{i|Jacob's Ladder}}/{{I|Sinus Infection}}/{{i|Trisagion}}: Overridden by Dr. Fetus. Can still appear from other sources such as {{I|Sad Bombs}}.""]"
52,459,"[""{{i|Jacob's Ladder}}/{{I|Sinus Infection}}/{{i|Trisagion}}: Overridden by Dr. Fetus. Can still appear from other sources such as {{I|Sad Bombs}}.""]"
52,533,"[""{{i|Jacob's Ladder}}/{{I|Sinus Infection}}/{{i|Trisagion}}: Overridden by Dr. Fetus. Can still appear from other sources such as {{I|Sad Bombs}}.""]"
52,220,"[""{{i|Jacob's Ladder}}/{{I|Sinus Infection}}/{{i|Trisagion}}: Overridden by Dr. Fetus. Can still appear from other sources such as {{I|Sad Bombs}}.""]"
52,440,"[""{{dlc+|r}} {{i|Kidney Stone}} / {{i|Number One}} / {{i|Pluto}} / {{i|Inner Child}}'s revive: The bombs lose almost all of their range, and cannot be improved by range ups. [[Shot speed]] and [[tear height]] ups can be used to mitigate this downside.{{dlc-}}""]"
52,6,"[""{{dlc+|r}} {{i|Kidney Stone}} / {{i|Number One}} / {{i|Pluto}} / {{i|Inner Child}}'s revive: The bombs lose almost all of their range, and cannot be improved by range ups. [[Shot speed]] and [[tear height]] ups can be used to mitigate this downside.{{dlc-}}""]"
52,598,"[""{{dlc+|r}} {{i|Kidney Stone}} / {{i|Number One}} / {{i|Pluto}} / {{i|Inner Child}}'s revive: The bombs lose almost all of their range, and cannot be improved by range ups. [[Shot speed]] and [[tear height]] ups can be used to mitigate this downside.{{dlc-}}""]"
52,688,"[""{{dlc+|r}} {{i|Kidney Stone}} / {{i|Number One}} / {{i|Pluto}} / {{i|Inner Child}}'s revive: The bombs lose almost all of their range, and cannot be improved by range ups. [[Shot speed]] and [[tear height]] ups can be used to mitigate this downside.{{dlc-}}""]"
52,440,"[""{{i|Kidney Stone|nr}}: The range decrease applies, but since the tear falling speed stat doesn't affect Dr. Fetus' bombs, they spawn directly in front of Isaac, making self-damage very likely. The effect can be mitigated with range ups.""]"
52,532,['{{i|Lachryphagy}}: Dr. Fetus bombs are not affected. Lachryphagy tears can still appear from other sources such as {{I|Sad Bombs}}.']
